timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-06-13T23:11:48,codecarbon,99158476-bf26-4f54-adc7-651066a76c6f,0.4516904354095459,3.171437754342998e-06,7.021263913785264e-06,42.5,17.52247558916017,11.880045890808104,5.314572155475616e-06,2.18194619000002e-06,1.4545321622534856e-06,8.951050507729122e-06,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-13T23:13:42,codecarbon,b192b433-5464-4ff6-aa62-6fd5d67f6702,0.4368667602539062,3.16256808301617e-06,7.239205109535205e-06,42.5,19.563656337760456,11.880045890808104,5.1574548085530606e-06,2.3583352199998096e-06,1.4102267619214597e-06,8.92601679047433e-06,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-13T23:14:39,codecarbon,40f32090-fb14-4e9a-b837-93ef28afb400,8.134958744049072,4.660338845483376e-05,5.728779938672132e-06,42.5,3.8530364451290513,11.880045890808104,9.602603216965994e-05,8.701395850000196e-06,2.6805749107744912e-05,0.0001315331771274,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-13T23:15:10,codecarbon,8cf167e4-c4d2-450c-8854-5766267807b5,0.1360335350036621,9.55610206975831e-07,7.024813454639001e-06,42.5,19.2486349429211,11.880045890808104,1.594042612446679e-06,6.997227819998883e-07,4.033442103781226e-07,2.6971096048246896e-06,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-13T23:15:43,codecarbon,5601bbab-f0bd-4b42-a633-7ecb2c8afe33,0.2388744354248047,1.8318408694941308e-06,7.668635056055533e-06,42.5,24.677254921857525,11.880045890808104,2.808235088984172e-06,1.610001288000068e-06,7.519423920962254e-07,5.170178769080465e-06,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-13T23:19:32,codecarbon,1aa6aec0-ec3d-434f-988c-c922754d0850,1.319532871246338,6.786019151974261e-06,5.1427435419359165e-06,42.5,3.025430378887915,11.880045890808104,1.5565966069698333e-05,7.327783639998059e-07,2.854083047326223e-06,1.915282748102436e-05,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-13T23:24:01,codecarbon,90875d64-f78d-4abd-aec2-cfb1c7c28866,1.3641595840454102,7.020418981138963e-06,5.146332630908136e-06,42.5,3.106558666625371,11.880045890808104,1.6092873944176567e-05,7.769450660003591e-07,2.944577409724805e-06,1.981439641990173e-05,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-13T23:24:16,codecarbon,2072533d-70d7-4ca9-a3be-9f44eb230328,10.49075412750244,5.493622136762987e-05,5.236632247781854e-06,42.5,0.5896548095815656,11.880045890808104,0.0001238373309373,1.4772234039998888e-06,2.973716990956461e-05,0.0001550517242509,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-13T23:24:22,codecarbon,a871ad43-5eb7-44ac-b822-9efb5235201a,0.1101877689361572,6.465829726918495e-07,5.868010387491188e-06,42.5,6.872183779359242,11.880045890808104,1.2889696492089166e-06,2.055557200000488e-07,3.303872711469088e-07,1.824912640355874e-06,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-13T23:24:28,codecarbon,0325f2bc-02d6-4591-984b-e6faf145624c,0.7776639461517334,4.388723032078421e-06,5.643469848121413e-06,42.5,3.0952986508566473,11.880045890808105,9.180754919846853e-06,6.67778312000121e-07,2.53817732893026e-06,1.2386710560777235e-05,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
